CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE
I-200-10110-383326;CERTIFIED;2/4/15;2/10/15;H-1B;02/09/2015;02/08/2018;AIMIC INC;14102 SULLYFIELD CIR;STE 700;CHANTILLY;VA;20151;UNITED STATES OF AMERICA;;7033524567;125;;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;47431.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;47431 -;Year;Y;N;BUFFALO;NIAGARA;NY;14210
I-200-10110-892779;CERTIFIED-WITHDRAWN;7/10/13;3/6/15;H-1B;07/10/2013;09/24/2015;SARAYU CONSULTANTS INC;870 E HIGGINS ROAD;SUITE 143B;SCHAUMBURG;IL;60173;UNITED STATES OF AMERICA;;8478443325;;MICHELLE SHEPARD;WOBURN;MA;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541512;1;Y;65707.00;Year;Level II;Other;2013;FLC DATA CENTER ONLINE WAGE LIBRARY;66000 -;Year;Y;N;CHARLOTTE;MECKLENBURG;NC;28202
I-200-10111-541256;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;THE VALDEN GROUP;1669 WORLD TRADE CENTER LOOP;;LAREDO;TX;78045;UNITED STATES OF AMERICA;;9567298500;;LAURIE SNIDER;DALLAS;TX;TRADE ANALYST/ECONOMIST;19-3011.00;ECONOMISTS;4885;1;Y;45739.00;Year;Level I;OES;2012;OFLC ONLINE DATA CENTER;50000.00 -;Year;N;N;LAREDO;WEBB;TX;78045
I-200-10116-840479;CERTIFIED;2/4/15;2/10/15;H-1B;02/04/2015;02/04/2018;TRANS AMERICAN INFORMATION SYSTEMS INC;860 HEBRON PKWY;#701;LEWISVILLE;TX;75057;UNITED STATES OF AMERICA;;9723150444;;JOHN BOUDIA;SOUTHFIELD;MI;E-COMMERCE QA ANALYST;15-1199;"COMPUTER OCCUPATIONS, ALL OTHER";541511;1;Y;57678;Year;Level I;Other;2014;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;CORTE MADERA;MARIN;CA;94925
I-200-10123-072652;CERTIFIED;12/23/14;12/30/14;H-1B;05/01/2015;04/30/2018;UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER;1100 N LINDSAY;SCB 121;OKLAHOMA CITY;OK;73104;UNITED STATES OF AMERICA;;4052712180;;;;;RESEARCH BIOSTATISTICIAN;15-2041;STATISTICIANS;611310;1;Y;47133.00;Year;Level I;Other;2014;OFLC DATA CENTER;53000 -;Year;N;N;OKLAHOMA CITY;OKLAHOMA;OK;73104
I-200-10126-411525;CERTIFIED;2/11/15;2/19/15;H-1B;07/01/2015;06/30/2018;"LLAMASOFT, INC.";201 S. MAIN STREET;FOURTH FLOOR;ANN ARBOR;MI;48104;UNITED STATES OF AMERICA;;7344183119;;RICHARD PIERCE;ANN ARBOR;MI;APPLIED RESEARCH SCIENTIST;15-2031;OPERATIONS RESEARCH ANALYSTS;541614;1;Y;80018.00;Year;Level III;Other;2014;ONLINE WAGE LIBRARY;87150.00 -;Year;N;N;ANN ARBOR;WASHTENAW;MI;48104
I-200-10131-100799;CERTIFIED;6/4/15;6/10/15;H-1B;09/15/2015;09/15/2018;E.I. DU PONT DE NEMOURS AND COMPANY;"974 CENTRE ROAD, CHESTNUT RUN PLAZA";BUILDING 721/ROOM 1254;WILMINGTON;DE;19805;UNITED STATES OF AMERICA;;3029968284;;LAWRENCE RUDNICK;PHILADELPHIA;PA;MECHANICAL ENGINEERING CONSULTANT;17-2141;MECHANICAL ENGINEERS;325199;1;Y;96013.00;Year;Level III;OES;2014;OFLC ONLINE DATA CENTER;96013 - 128340;Year;N;N;WILMINGTON;NEW CASTLE;DE;19805
I-200-10137-273423;DENIED;3/20/15;3/31/15;H-1B;08/15/2015;08/15/2018;"INTERNATIONAL SOLUTIONS GROUP, INC.";1110 ELDEN STREET;SUITE 201;HERNDON;VA;20170;UNITED STATES OF AMERICA;;7037668800;201;;;;PROGRAMMER ANALYST;15-1021.00;COMPUTER PROGRAMMERS;541511;1;Y;70013.00;Year;Level II;OES;2015;OFLC  ONLINE DATACENTER;63523.00 -;Year;Y;N;CHANDLER;MARICOPA;AZ;85248
I-200-10137-791989;DENIED;3/20/15;3/31/15;H-1B;08/15/2015;08/14/2018;"INTERNATIONAL SOLUTIONS GROUP, INC.";1110 ELDEN STREET;SUITE 201;HERNDON;VA;20170;UNITED STATES OF AMERICA;;7037668800;;;;;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1;Y;69056.00;Year;Level II;OES;2015;ONLINE WAGE LIBRARY;69056 -;Year;N;N;WASHINGTON;WASHINGTON;DC;20001
I-200-10147-349494;CERTIFIED-WITHDRAWN;5/27/10;8/9/15;H-1B;09/11/2010;09/10/2013;MAP-IT SOLUTIONS INC;8510 S STEPHANIE LN;;TEMPE;AZ;85284;UNITED STATES OF AMERICA;;4806265039;;;;;BUSINESS ANALYST;13-1111.00;MANAGEMENT ANALYSTS;54151;1;Y;60216.00;Year;Level I;Other;2010;OFLC ONLINE DATA CENTER;80000.00 -;Year;N;N;SAN JOSE;SANTA CLARA;CA;95134
I-200-10147-884998;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.;7001 DEVELOPMENT DRIVE;;RESEARCH TRIANGLE PARK;NC;27709;UNITED STATES OF AMERICA;;9195366659;;LAURIE SNIDER;DALLAS;TX;SOFTWARE QA STAFF ENGINEER (TEST/VERIFICATION);15-1031.00;"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS";334220;1;Y;71386.00;Year;Level I;OES;2012;OFLC ONLINE DATA CENTER;94000 - 125000;Year;N;N;REDWOOD CITY;SAN MATEO;CA;94065
I-200-10154-842808;CERTIFIED-WITHDRAWN;6/4/10;8/9/15;H-1B;06/07/2010;06/06/2011;MAP-IT SOLUTIONS INC;8510 S STEPHANIE LN;;TEMPE;AZ;85284;UNITED STATES OF AMERICA;;4806265039;;;;;QUALITY ANALYST;15-1099.01;SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS;54151;1;Y;43181;Year;Level II;OES;2010;OFLC ONLINE DATA CENTER;23 -;Hour;N;N;STERLING;LOUDOUN;VA;20166
I-200-10155-624797;CERTIFIED;11/10/14;11/17/14;H-1B;05/05/2015;05/04/2018;"VMWARE, INC.";3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194;;JACQUELYN MARONEY;AUSTIN;TX;SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;"SOFTWARE DEVELOPERS, APPLICATIONS";541511;1;Y;113775.00;Year;;Other;2014;RADFORD GLOBAL TECHNOLOGY SURVEY;131428.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304
I-200-10162-078390;CERTIFIED;10/13/14;10/17/14;H-1B;01/26/2015;01/25/2018;CCH INCORPORATED;2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;PROGRAMMER ANALYST III;15-1132;"SOFTWARE DEVELOPERS, APPLICATIONS";511210;1;Y;98333;Year;Level IV;Other;2014;US MBD: MERCER BENCHMARK DATABASE IT SURVEY;98333 - 108660;Year;N;N;TORRANCE;LOS ANGELES;CA;90502
I-200-10162-700708;CERTIFIED-WITHDRAWN;5/22/14;7/16/15;H-1B;06/29/2014;06/29/2017;"HEALTH LANGUAGE, INC.";2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;SENIOR PRODUCT SUPPORT CONSULTANT;17-2031;BIOMEDICAL ENGINEERS;5417;1;Y;72530.00;Year;Level III;OES;2013;OFLC ONLINE DATA CENTER;72530.00 - 143948.12;Year;N;N;DENVER;DENVER;CO;80237
I-200-10162-830147;CERTIFIED-WITHDRAWN;6/9/14;9/30/15;H-1B;06/22/2014;06/21/2017;CCH INCORPORATED;2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;APPLICATIONS DEVELOPER III;15-1132;"SOFTWARE DEVELOPERS, APPLICATIONS";511210;1;Y;69659.00;Year;Level III;OES;2013;OFLC ONLINE DATA CENTER;69659.00 - 94512.81;Year;N;N;IOWA CITY;JOHNSON;IA;52246
I-200-10165-647269;CERTIFIED-WITHDRAWN;3/28/13;10/22/14;H-1B;09/27/2013;09/26/2016;WINDYCITY TECHNOLOGIES INC;3601 W. DEVON AVENUE;STE 306;CHICAGO;IL;60659;UNITED STATES OF AMERICA;N/A;7735833071;;;;;BUSINESS  ANALYST;13-1199;"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*";541511;1;Y;59966.00;Year;Level II;OES;2013;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;NEW BRUNSWICK;MIDDLESEX;NJ;08901
I-200-10165-855838;CERTIFIED;7/22/15;7/28/15;H-1B;07/25/2015;07/24/2018;AIMIC INC;14102 SULLYFIELD CIR;STE 700;CHANTILLY;VA;20151;UNITED STATES OF AMERICA;;7033524567;125;;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;47431.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;47431.00 -;Year;Y;N;BUFFALO;NIAGARA;NY;14210
I-200-10165-985039;CERTIFIED;3/11/15;3/18/15;H-1B;03/12/2015;03/11/2018;AIMIC INC;14102 SULLYFIELD CIR;STE 700;CHANTILLY;VA;20151;UNITED STATES OF AMERICA;;7033524567;125;;;;SOFTWARE ENGINEER;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1;Y;60507.00;Year;Level I;OES;2015;OFLC ONLINE DATA CENTER;60507 -;Year;Y;N;CHARLOTTE;MECKLENBERG;NC;28262
I-200-10167-257018;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;"TECHNIP USA, INC.";11700 KATY FREEWAY;SUITE 150;HOUSTON;TX;77079;UNITED STATES OF AMERICA;;2812493253;;LAURIE SNIDER;DALLAS;TX;SENIOR SPECIALIST;17-2141.00;MECHANICAL ENGINEERS;541330;1;Y;82700.00;Year;;Other;2012;"TOWERS WATSON ENGINEERING, DESIGN, & DRAFTING PERSONNEL";92040 -;Year;N;N;HOUSTON;HARRIS;TX;77079
I-200-10168-410724;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;CHICAGO BRIDGE & IRON COMPANY (DELAWARE);"TWO RIVERWAY, SUITE 1300";;HOUSTON;TX;77056;UNITED STATES OF AMERICA;;7133758626;;LAURIE SNIDER;DALLAS;TX;SR. ELECTRICAL DESIGNER II;17-2071.00;ELECTRICAL ENGINEERS;541330;1;Y;68247.00;Year;;Other;2012;DIETRICH ENGINEERING SALARY SURVEY;79911.00 - 113815.00;Year;N;N;HOUSTON;HARRIS;TX;77056
I-200-10174-059370;CERTIFIED-WITHDRAWN;4/19/12;4/17/15;H-1B;10/01/2012;09/30/2015;WEST FOURTH & PERRY LTD.;256 WEST 4TH STREET;N/A;NEW YORK;NY;10014;UNITED STATES OF AMERICA;N/A;9176032097;;CIGDEM ACAR;NEW YORK;NY;INTERIOR DESIGNER;27-1025;INTERIOR DESIGNERS;541410;1;N;20.56;Hour;Level I;Other;2011;OFLC ONLINE DATA CENTER;20.56 - 20.56;Hour;N;N;NEW YORK;NEW YORK;NY;10014
I-200-10204-793879;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;"BROKEN HILL PROPRIETARY (USA), INC.";"1360 POST OAK BOULEVARD, SUITE 150";;HOUSTON;TX;77056;UNITED STATES OF AMERICA;;7139618432;;LAURIE SNIDER;DALLAS;TX;DISTRIBUTION ADMINISTRATOR;13-1081.00;LOGISTICIANS;541690;1;Y;46987.00;Year;Level I;OES;2012;OFLC ONLINE DATA CENTER;66510.00 -;Year;N;N;PITTSBURGH;ALLEGHENY;PA;15205
I-200-10207-775880;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;"TECHNIP USA, INC.";11700 KATY FREEWAY;SUITE 150;HOUSTON;TX;77079;UNITED STATES OF AMERICA;;2818701111;;LAURIE SNIDER;DALLAS;TX;SENIOR DEEPWATER RISER ENGINEER;17-2141.00;MECHANICAL ENGINEERS;541330;1;Y;80392.00;Year;Level II;OES;2012;OFLC ONLINE DATA CENTER;85000.24 -;Year;N;N;HOUSTON;HARRIS;TX;77079
I-200-10214-358714;CERTIFIED-WITHDRAWN;2/17/12;4/1/15;H-1B;08/17/2012;08/17/2015;"WS ATKINS, INC.";"920 MEMORIAL CITY WAY, SUITE 700";;HOUSTON;TX;77024;UNITED STATES OF AMERICA;;7135768500;;ELIZABETH THOMPSON;MINNEAPOLIS;MN;ASSISTANT CFD CONSULTANT;17-2051;CIVIL ENGINEERS;541990;1;Y;64400;Year;;Other;2011;TOWERS WATSON: SPECIALIZED PROFESSIONAL COMPENSATION SURVEY - 2011 DATA FROM TOWERS WATSON;68000 -;Year;N;N;HOUSTON;HARRIS;TX;77024
I-200-10214-421060;CERTIFIED;12/30/14;1/6/15;H-1B;01/05/2015;01/04/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;SECURITIES MODELING PROFESSIONAL;15-2031;OPERATIONS RESEARCH ANALYSTS;522294;1;Y;64085.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;64100 - 117500;Year;N;N;MCLEAN;FAIRFAX;VA;22102
I-200-10215-099771;CERTIFIED;1/7/15;1/13/15;H-1B;07/06/2015;07/05/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;N/A;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;INFORMATION SECURITY SENIOR;15-1142;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;522294;1;Y;85600.00;Year;;Other;2014;HRA-NCA COMPENSATION SURVEY REPORT;85600 - 126200;Year;N;N;RESTON;FAIRFAX;VA;20190
I-200-10217-966696;CERTIFIED;2/4/15;2/10/15;H-1B;02/04/2015;09/29/2015;TRANS AMERICAN INFORMATION SYSTEMS INC;860 HEBRON PKWY;#701;LEWISVILLE;TX;75057;UNITED STATES OF AMERICA;;9723150444;;JOHN BOUDIA;SOUTHFIELD;MI;ATG DEVELOPER;15-1132;"SOFTWARE DEVELOPERS, APPLICATIONS";541511;1;Y;79747;Year;Level II;Other;2014;OFLC ONLINE DATA CENTER;90000 -;Year;Y;N;RICHARDSON;DALLAS;TX;75081
I-200-10223-731658;CERTIFIED-WITHDRAWN;3/2/15;7/2/15;H-1B;09/01/2015;08/31/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;INTERNAL AUDIT PROFESSIONAL;13-2011;ACCOUNTANTS AND AUDITORS;522294;1;Y;55286;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;55300 - 93600;Year;N;N;MCLEAN;FAIRFAX;VA;22102
I-200-10224-292346;CERTIFIED;3/2/15;3/6/15;H-1B;09/01/2015;08/31/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;RISK MODELING SENIOR;15-2031;OPERATIONS RESEARCH ANALYSTS;522294;1;Y;64085;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;64100 - 106100;Year;N;N;MCLEAN;FAIRFAX;VA;22102
I-200-10228-828212;CERTIFIED-WITHDRAWN;9/2/14;12/1/14;H-1B;01/15/2015;01/14/2018;THE JOHNS HOPKINS UNIVERSITY;1620 MCELDERRY STREET;;BALTIMORE;MD;21205;UNITED STATES OF AMERICA;;4109553371;;;;;RESEARCH TECHNOLOGIST;19-4021;BIOLOGICAL TECHNICIANS;611310;1;Y;27768;Year;Level I;Other;2014;OFLC ONLINE DATA CENTER;28320 -;Year;N;N;BALTIMORE;BALTIMORE CITY;MD;21205
I-200-10237-048581;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.;3333 PIEDMONT ROAD;SUITE 600;ATLANTA;GA;30305;UNITED STATES OF AMERICA;;9195366659;;LAURIE SNIDER;DALLAS;TX;REGIONAL BUSINESS MANAGER;15-2031.00;OPERATIONS RESEARCH ANALYSTS;334220;1;Y;54912.00;Year;Level II;OES;2012;OFLC ONLINE DATA CENTER;76550.0 - 106146.00;Year;N;N;ATLANTA;FULTON;GA;30305
I-200-10244-239911;CERTIFIED;3/9/15;3/18/15;H-1B;09/08/2015;09/08/2018;E.I. DU PONT DE NEMOURS AND COMPANY;"1007 MARKET STREET, D-7031";;WILMINGTON;DE;19898;UNITED STATES OF AMERICA;;3027730451;;LAWRENCE RUDNICK;PHILADELPHIA;PA;"RESEARCH INVESTIGATOR, APPLICATION TECHNOLOGY";17-2021;AGRICULTURAL ENGINEERS;325199;1;Y;68370.00;Year;Level III;OES;2014;OFLC ONLINE DATA CENTER;83690 - 128340;Year;N;N;NEWARK;NEW CASTLE;DE;19711
I-200-10246-559292;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;THE CITY OF FORT WORTH;1000 THROCKMORTON STREET;;FORT WORTH;TX;76102;UNITED STATES OF AMERICA;;8177394200;;LAURIE SNIDER;DALLAS;TX;FORENSIC DIVISION MANAGER;19-4092.00;FORENSIC SCIENCE TECHNICIANS;92212;1;Y;58864.00;Year;Level IV;OES;2012;OFLC ONLINE DATA CENTER;97240 -;Year;N;N;FORT WORTH;TARRANT;TX;76102
I-200-10250-971984;CERTIFIED-WITHDRAWN;5/22/14;4/6/15;H-1B;06/03/2014;06/03/2017;"UNIVERSAL TAX SYSTEMS, INC.";2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;FIELD SALES REP;41-1012;FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS;511210;1;Y;48589.00;Year;Level I;OES;2013;OFLC ONLINE DATA CENTER;48589.00 - 85000.00;Year;N;N;DAVIE;BROWARD;FL;33314
I-200-10250-986276;CERTIFIED-WITHDRAWN;8/19/14;5/12/15;H-1B;09/12/2014;09/12/2017;CCH INCORPORATED;2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;IT ARCHITECT;15-1132;"SOFTWARE DEVELOPERS, APPLICATIONS";511210;1;Y;85738.00;Year;Level III;OES;2014;OFLC ONLINE DATA CENTER;85738.00 - 104100.00;Year;N;N;WICHITA;SEDGWICK;KS;67207
I-200-10263-046043;WITHDRAWN;4/2/12;10/24/14;H-1B;10/01/2012;09/30/2015;BROADCOM CORPORATION;5300 CALIFORNIA AVE.;N/A;IRVINE;CA;92617;UNITED STATES OF AMERICA;N/A;9499265000;;A. James V_zquez-Azpiri;San Francisco;CA;"ENGINEER, PRINCIPAL - IC DESIGN";17-2072.00;"ELECTRONICS ENGINEERS, EXCEPT COMPUTER";334413;1;Y;131019.00;Year;Level IV;OES;2012;OFLC ONLINE DATA CENTER;131040.00 -;Year;N;N;SUNNYVALE;SANTA CLARA;CA;94086
I-200-10284-765613;CERTIFIED-WITHDRAWN;9/17/13;2/13/15;H-1B;09/23/2013;09/22/2016;"AIG PC GLOBAL SERVICES, INC.";180 MAIDEN LANE;;NEW YORK;NY;10038;UNITED STATES OF AMERICA;;7182501693;;JANET HENNER;NEW YORK;NY;"DIRECTOR, SCIENCE CONSUMER";11-3031;FINANCIAL MANAGERS;524298;1;Y;141835;Year;Level II;OES;2013;OFLC ONLINE DATA CENTER;165000 -;Year;N;N;NEW YORK;NEW YORK;NY;10038
I-200-10286-468947;CERTIFIED;11/10/14;11/17/14;H-1B;05/12/2015;05/11/2018;"VMWARE, INC.";3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194;;JACQUELYN MARONEY;AUSTIN;TX;MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING;15-1199;"COMPUTER OCCUPATIONS, ALL OTHER";541511;1;Y;97503.00;Year;;Other;2014;RADFORD GLOBAL TECHNOLOGY SURVEY;107277.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304
I-200-10292-944449;CERTIFIED;3/9/15;3/18/15;H-1B;09/08/2015;09/08/2018;E.I. DU PONT DE NEMOURS AND COMPANY;"1007 MARKET STREET, D-7031";;WILMINGTON;DE;19898;UNITED STATES OF AMERICA;;3027730451;;LAWRENCE RUDNICK;PHILADELPHIA;PA;"RESEARCH INVESTIGATOR, RESIDUE FIELD STUDY";17-2081;ENVIRONMENTAL ENGINEERS;325199;1;Y;82347.00;Year;Level III;OES;2014;OFLC ONLINE DATA CENTER;83690 - 128340;Year;N;N;NEWARK;NEW CASTLE;DE;19711
I-200-10293-841987;CERTIFIED;2/2/15;2/9/15;H-1B;07/31/2015;07/30/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039185000;;JAMES ALEXANDER;WASHINGTON;DC;RELEASE MANAGEMENT SENIOR;15-1199;"COMPUTER OCCUPATIONS, ALL OTHER";522294;1;Y;79100.00;Year;;Other;2014;HRA-NCA COMPENSATION SURVEY REPORT;79100 - 111700;Year;N;N;RESTON;FAIRFAX;VA;20190
I-200-10301-254322;CERTIFIED;2/18/15;2/25/15;H-1B;08/05/2015;08/04/2018;"LANYON SOLUTIONS, INC.";"717 N. HARWOOD ST., SUITE 2200";;DALLAS;TX;75201;UNITED STATES OF AMERICA;;8172265656;;LAURIE SNIDER;DALLAS;TX;ACCOUNTANT;13-2011;ACCOUNTANTS AND AUDITORS;511210;1;Y;44500.00;Year;;Other;2014;TOWERS WATSON PROFESSIONAL (TECHNICAL AND OPERATIONS) COMPENSATION SURVEY;44500 - 45000;Year;N;N;DALLAS;DALLAS;TX;75201
I-200-10306-514283;CERTIFIED-WITHDRAWN;7/17/14;5/19/15;H-1B;08/10/2014;08/09/2017;CT CORPORATION SYSTEM;2700 LAKE COOK ROAD;;RIVERWOODS;IL;60015;UNITED STATES OF AMERICA;;8475805181;;REBECCA VAN UITERT;CHICAGO;IL;BUSINESS PROCESS ANALYST II;13-2011;ACCOUNTANTS AND AUDITORS;511210;1;Y;74110.00;Year;Level II;OES;2014;OFLC ONLINE DATA CENTER;74110 - 104400;Year;N;N;NEW YORK;NEW YORK;NY;10011
I-200-10306-740291;WITHDRAWN;10/13/14;10/13/14;H-1B;10/13/2014;10/12/2017;CHICAGO BRIDGE & IRON COMPANY (DELAWARE);"TWO RIVERWAY, SUITE 1300";;HOUSTON;TX;77056;UNITED STATES OF AMERICA;;7133758626;;LAURIE SNIDER;DALLAS;TX;SENIOR ELECTRICAL ENGINEER I;17-2071.00;ELECTRICAL ENGINEERS;541330;1;Y;77738.00;Year;;Other;2012;DIETRICH SPRING 2010 ENGINEERING SALARY SURVEY;77738.00 - 105266.00;Year;N;N;PLAINFIELD;WILL;IL;60544
I-200-10306-772964;CERTIFIED;3/16/15;3/20/15;H-1B;09/15/2015;09/14/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;FINANCIAL MODEL DEVELOPMENT SENIOR;15-2031;OPERATIONS RESEARCH ANALYSTS;522294;1;Y;64085.00;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;64100 - 145000;Year;N;N;MCLEAN;FAIRFAX;VA;22102
I-200-10310-210700;CERTIFIED-WITHDRAWN;11/6/10;10/18/14;H-1B;11/08/2010;09/30/2011;VINSYS INFORMATION TECHNOLOGY INC;"12020 SUNRISE VALLEY DRIVE, SUITE:100";;RESTON;VA;20191;UNITED STATES OF AMERICA;;7033714120;;;;;SOFTWARE PROGRAMMER;15-1021.00;COMPUTER PROGRAMMERS;514511;1;Y;49546.00;Year;Level I;Other;2010;OFLC ON-LINE DATA CENTER;50000 - 70000;Hour;N;N;JERSEY CITY;HUDSON COUNTY;NJ;07310
I-200-10311-481687;CERTIFIED-WITHDRAWN;11/9/10;10/18/14;H-1B;01/31/2011;01/31/2014;VINSYS INFORMATION TECHNOLOGY INC;"12020 SUNRISE VALLEY DRIVE, SUITE:100";;RESTON;VA;20191;UNITED STATES OF AMERICA;;7033714120;;;;;SOFTWARE ENGINEER;15-1032.00;"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE";514511;1;Y;66581.00;Year;Level I;Other;2010;OFLC ON LINE DATA CENTER;72000 - 95000;Year;N;N;MOUNT LAUREL;BURLINGTON;NJ;08054
I-200-10313-706558;CERTIFIED;2/18/15;2/24/15;H-1B;08/10/2015;08/09/2018;CONOCOPHILLIPS COMPANY;600 N. DAIRY ASHFORD;;HOUSTON;TX;77079;UNITED STATES OF AMERICA;;2812932781;;LAURIE SNIDER;DALLAS;TX;RESERVOIR ENGINEERING ADVISOR;17-2171;PETROLEUM ENGINEERS;324110;1;Y;197954;Year;Level IV;OES;2014;OFLC ONLINE DATA CENTER;197954 - 255240;Year;N;N;HOUSTON;HARRIS;TX;77079
I-200-10314-530258;CERTIFIED-WITHDRAWN;3/4/15;7/2/15;H-1B;09/01/2015;08/31/2018;FEDERAL HOME LOAN MORTGAGE CO.;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;N/A;7039188838;;JAMES ALEXANDER;WASHINGTON;DC;RISK MODELING SENIOR;15-2031;OPERATIONS RESEARCH ANALYSTS;522294;1;Y;64085;Year;Level I;OES;2014;OFLC ONLINE DATA CENTER;64100 - 130000;Year;N;N;MCLEAN;FAIRFAX;VA;22102
